beat_an_opponent,confrontation_win_rate,date,goals,intercept,mark,passes_center,passes_completed_rate,passes_long,passes_number,passes_short,passes_through,possession,score,shot_counterattack,shot_number,shot_on_target,shot_own,shot_placekick,shot_point,shot_positional,turn
9,36,2018-08-12 23:00,2,6,6.95,15,84,52,581,508,6,58%,0 : 2,1,17,8,0,3,0,13,第1轮
7,74,2018-10-07 23:30,0,16,6.78,12,83,53,552,486,1,51%,0 : 0,0,6,2,0,0,1,5,第8轮
6,47,2018-09-22 22:00,5,12,7.66,23,91,41,831,766,1,79%,0 : 5,0,21,10,0,8,0,13,第6轮
8,36,2018-12-05 04:00,2,16,7.02,21,88,48,747,674,4,70%,1 : 2,1,15,7,0,2,0,12,第15轮
10,48,2018-11-24 23:00,4,13,7.38,4,89,55,849,785,5,69%,0 : 4,1,9,6,0,0,0,8,第13轮
15,52,2019-01-20 21:30,3,13,7.27,12,87,58,754,683,1,68%,0 : 3,0,12,4,0,3,0,9,第23轮
16,46,2018-08-25 19:30,1,9,6.73,30,90,36,678,611,1,71%,1 : 1,0,18,6,0,6,0,12,第3轮
6,59,2019-03-02 23:00,1,9,6.88,28,91,37,842,773,4,82%,0 : 1,1,23,7,0,10,0,12,第29轮
9,33,2019-03-30 20:30,2,16,7.09,20,90,51,702,630,1,65%,0 : 2,0,24,7,0,6,0,18,第32轮
13,48,2018-10-30 04:00,1,12,6.86,12,83,65,538,460,1,52%,0 : 1,0,13,6,0,3,0,10,第10轮
16,28,2018-12-09 01:30,0,19,6.41,23,88,58,667,584,2,61%,2 : 0,1,14,4,0,8,0,5,第16轮
17,60,2019-04-25 03:00,2,14,7.19,8,87,58,723,653,4,63%,0 : 2,1,8,5,0,0,0,7,第31轮
14,52,2018-12-30 22:15,3,12,6.98,18,89,45,807,743,1,77%,1 : 3,1,15,6,1,3,0,10,第20轮
11,62,2019-02-07 03:45,2,21,7.18,10,86,63,567,492,2,61%,0 : 2,0,15,4,0,3,0,12,第27轮
15,58,2019-01-30 04:00,1,22,6.53,21,89,42,798,732,3,76%,2 : 1,0,12,4,0,7,0,5,第24轮
11,62,2019-04-28 21:05,1,13,7.07,24,86,56,645,564,1,70%,0 : 1,2,25,7,0,2,0,21,第36轮
11,43,2019-05-12 22:00,4,15,7.21,20,93,29,818,761,8,76%,1 : 4,0,20,9,0,3,0,17,第38轮
16,45,2019-04-14 21:05,3,22,7.17,27,90,60,757,665,5,72%,1 : 3,2,20,6,0,1,0,17,第34轮
11,37,2018-12-26 23:00,1,18,6.41,35,87,67,655,551,2,66%,2 : 1,0,11,4,0,0,0,11,第19轮
